Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-21 00:00:00+11:00,7695.7998046875,7787.2001953125,7695.7998046875,7782.0,819900,0.0,0.0
2024-03-22 00:00:00+11:00,7782.0,7786.7998046875,7738.60009765625,7770.60009765625,636600,0.0,0.0
2024-03-25 00:00:00+11:00,7770.60009765625,7844.39990234375,7770.60009765625,7811.89990234375,462500,0.0,0.0
2024-03-26 00:00:00+11:00,7811.89990234375,7812.2998046875,7775.7001953125,7780.2001953125,579500,0.0,0.0
2024-03-27 00:00:00+11:00,7780.2001953125,7819.60009765625,7771.7998046875,7819.60009765625,473800,0.0,0.0
2024-03-28 00:00:00+11:00,7819.60009765625,7901.2001953125,7819.60009765625,7896.89990234375,704400,0.0,0.0
2024-04-02 00:00:00+11:00,7896.89990234375,7910.5,7867.7998046875,7887.89990234375,610100,0.0,0.0
2024-04-03 00:00:00+11:00,7887.89990234375,7895.7001953125,7770.89990234375,7782.5,679100,0.0,0.0
2024-04-04 00:00:00+11:00,7782.5,7834.39990234375,7782.5,7817.2998046875,537600,0.0,0.0
2024-04-05 00:00:00+11:00,7817.2998046875,7817.2998046875,7741.5,7773.2998046875,497200,0.0,0.0
2024-04-08 00:00:00+10:00,7773.2998046875,7801.5,7769.39990234375,7789.10009765625,542900,0.0,0.0
2024-04-09 00:00:00+10:00,7789.10009765625,7835.10009765625,7789.10009765625,7824.2001953125,536300,0.0,0.0
2024-04-10 00:00:00+10:00,7824.2001953125,7869.2998046875,7824.2001953125,7848.5,526200,0.0,0.0
2024-04-11 00:00:00+10:00,7848.5,7848.5,7752.10009765625,7813.60009765625,531300,0.0,0.0
2024-04-12 00:00:00+10:00,7813.60009765625,7813.60009765625,7765.2998046875,7788.10009765625,531600,0.0,0.0
2024-04-15 00:00:00+10:00,7788.10009765625,7788.89990234375,7735.2001953125,7752.5,551800,0.0,0.0
2024-04-16 00:00:00+10:00,7752.5,7752.5,7585.7998046875,7612.5,992200,0.0,0.0
2024-04-17 00:00:00+10:00,7612.5,7636.60009765625,7596.7001953125,7605.60009765625,531800,0.0,0.0
2024-04-18 00:00:00+10:00,7605.60009765625,7656.7998046875,7605.60009765625,7642.10009765625,511700,0.0,0.0
2024-04-19 00:00:00+10:00,7642.10009765625,7642.10009765625,7492.60009765625,7567.2998046875,692800,0.0,0.0
2024-04-22 00:00:00+10:00,7567.2998046875,7678.60009765625,7567.2998046875,7649.2001953125,479100,0.0,0.0
2024-04-23 00:00:00+10:00,7649.2001953125,7694.89990234375,7648.5,7683.5,565200,0.0,0.0
2024-04-24 00:00:00+10:00,7683.5,7724.0,7679.7001953125,7683.0,579200,0.0,0.0
2024-04-26 00:00:00+10:00,7683.0,7683.0,7568.10009765625,7575.89990234375,520500,0.0,0.0
2024-04-29 00:00:00+10:00,7575.89990234375,7646.39990234375,7575.89990234375,7637.39990234375,540400,0.0,0.0
2024-04-30 00:00:00+10:00,7637.39990234375,7664.10009765625,7623.39990234375,7664.10009765625,668600,0.0,0.0
2024-05-01 00:00:00+10:00,7664.10009765625,7664.10009765625,7556.5,7569.89990234375,559000,0.0,0.0
2024-05-02 00:00:00+10:00,7569.89990234375,7616.0,7569.89990234375,7587.0,692300,0.0,0.0
2024-05-03 00:00:00+10:00,7587.0,7640.2001953125,7587.0,7629.0,638400,0.0,0.0
2024-05-06 00:00:00+10:00,7629.0,7684.10009765625,7629.0,7682.39990234375,500800,0.0,0.0
2024-05-07 00:00:00+10:00,7682.39990234375,7793.2998046875,7682.39990234375,7793.2998046875,603300,0.0,0.0
2024-05-08 00:00:00+10:00,7793.2998046875,7814.89990234375,7788.10009765625,7804.5,517900,0.0,0.0
2024-05-09 00:00:00+10:00,7804.2998046875,7804.2998046875,7715.2001953125,7721.60009765625,512300,0.0,0.0
2024-05-10 00:00:00+10:00,7721.60009765625,7768.5,7721.60009765625,7749.0,462800,0.0,0.0
2024-05-13 00:00:00+10:00,7749.0,7750.0,7721.5,7750.0,423700,0.0,0.0
2024-05-14 00:00:00+10:00,7750.0,7750.0,7714.60009765625,7726.7998046875,479800,0.0,0.0
2024-05-15 00:00:00+10:00,7726.7998046875,7784.7998046875,7726.7998046875,7753.7001953125,419300,0.0,0.0
2024-05-16 00:00:00+10:00,7753.7001953125,7900.2001953125,7753.7001953125,7881.2998046875,655500,0.0,0.0
2024-05-17 00:00:00+10:00,7881.2998046875,7885.10009765625,7810.2998046875,7814.39990234375,524600,0.0,0.0
2024-05-20 00:00:00+10:00,7814.39990234375,7873.7998046875,7814.39990234375,7863.7001953125,614400,0.0,0.0
2024-05-21 00:00:00+10:00,7863.7001953125,7870.2001953125,7841.5,7851.7001953125,674000,0.0,0.0
2024-05-22 00:00:00+10:00,7851.7001953125,7879.60009765625,7848.10009765625,7848.10009765625,683500,0.0,0.0
2024-05-23 00:00:00+10:00,7848.10009765625,7848.10009765625,7764.60009765625,7811.7998046875,585000,0.0,0.0
2024-05-24 00:00:00+10:00,7811.7998046875,7811.7998046875,7716.89990234375,7727.60009765625,505400,0.0,0.0
2024-05-27 00:00:00+10:00,7734.2998046875,7793.2001953125,7734.2998046875,7788.2998046875,474300,0.0,0.0
2024-05-28 00:00:00+10:00,7788.2998046875,7801.39990234375,7765.7001953125,7766.7001953125,492200,0.0,0.0
2024-05-29 00:00:00+10:00,7766.7001953125,7766.7001953125,7660.89990234375,7665.60009765625,657000,0.0,0.0
2024-05-30 00:00:00+10:00,7665.60009765625,7665.60009765625,7601.5,7628.2001953125,577700,0.0,0.0
2024-05-31 00:00:00+10:00,7628.2001953125,7701.7001953125,7628.2001953125,7701.7001953125,1411400,0.0,0.0
2024-06-03 00:00:00+10:00,7701.7001953125,7779.0,7701.7001953125,7761.0,468600,0.0,0.0
2024-06-04 00:00:00+10:00,7761.0,7768.2001953125,7737.10009765625,7737.10009765625,471100,0.0,0.0
